TERM,GO,dataset,n_genes,effect,fdr,neglog10_fdr
calcium ion binding,GO:0005509,GSE37114,372,-0.04738312384579784,1.1605152117905517e-12,11.935349162529564
signaling receptor activity,GO:0038023,GSE37114,94,0.3676453942670848,7.691825293903713e-12,11.113970588546303
glycosyltransferase activity,GO:0016757,GSE37114,167,0.1113839400669905,6.365345677548275e-10,9.196178006499677
heparin binding,GO:0008201,GSE37114,78,0.31544251888815605,1.1434650846849678e-8,7.941777091888152
transmembrane signaling receptor activity,GO:0004888,GSE37114,82,0.23544942791539275,1.004053803414852e-7,6.99824301438213
transmembrane receptor protein tyrosine kinase activity,GO:0004714,GSE37114,34,0.7789175410097127,1.0826541813900985e-7,6.965510242449155
integrin binding,GO:0005178,GSE37114,89,0.1876787115096696,1.0134544784741544e-6,5.994195753819987
structural constituent of ribosome,GO:0003735,GSE37114,161,-1.1236120676023165,1.6765384512965829e-6,5.775586481606214
protein disulfide isomerase activity,GO:0003756,GSE37114,15,0.9774004063002448,8.443487687164121e-5,4.073478125599753
transmembrane transporter activity,GO:0022857,GSE37114,128,-0.05572845693112702,9.835531848302044e-5,4.007202150992465
signaling receptor binding,GO:0005102,GSE37114,232,-0.17915635153919857,1.6436569079239768e-4,3.784188830680118
growth factor binding,GO:0019838,GSE37114,35,0.46251518242292505,1.6987506637768663e-4,3.7698703605613924
serine-type endopeptidase inhibitor activity,GO:0004867,GSE37114,35,0.3640559225146508,6.62949713745169e-4,3.178519412577487
extracellular matrix binding,GO:0050840,GSE37114,18,0.5884795822072474,6.62949713745169e-4,3.178519412577487
zinc ion transmembrane transporter activity,GO:0005385,GSE37114,22,0.5613445659923,9.44152028876491e-4,3.024958069275962
carbohydrate binding,GO:0030246,GSE37114,106,-0.10910214028130416,0.00128120793648372,2.892380379748764
extracellular matrix structural constituent,GO:0005201,GSE37114,57,0.06756169574290388,0.00128120793648372,2.892380379748764
peptidase inhibitor activity,GO:0030414,GSE37114,42,0.07272420926522451,0.02771720894459307,1.5572505042546623
polypeptide N-acetylgalactosaminyltransferase activity,GO:0004653,GSE37114,12,0.4761941199413469,0.02892391874566335,1.5387428671754857
structural constituent of ribosome,GO:0003735,GSE134033,145,2.035384859392986,6.982904651065753e-15,14.155963888046154
nucleic acid binding,GO:0003676,GSE134033,488,0.8572558264585334,1.3056088222998638e-14,13.884186923952344
peptidase inhibitor activity,GO:0030414,GSE134033,60,-1.6696852846212906,1.215522003601953e-11,10.915237175071228
serine-type endopeptidase inhibitor activity,GO:0004867,GSE134033,50,-1.804645258521267,1.864441266565867e-11,10.729451293186617
chromatin binding,GO:0003682,GSE134033,451,0.8081470042449994,7.493846225891471e-11,10.125295222895808
ATP hydrolysis activity,GO:0016887,GSE134033,334,0.8182741188545437,5.6950736474978404e-8,7.244500655343422
mRNA binding,GO:0003729,GSE134033,227,0.9356255398331887,6.486534677205886e-8,7.1879872558188325
extracellular matrix structural constituent conferring tensile strength,GO:0030020,GSE134033,32,-1.3574097526121414,1.6965103299301803e-6,5.770443491622744
extracellular matrix binding,GO:0050840,GSE134033,25,-2.014205876400265,1.959714377500578e-6,5.707807221150926
oxidoreductase activity,GO:0016491,GSE134033,435,-0.1441565845365173,3.9691296698631975e-5,4.401304712635756
heparin binding,GO:0008201,GSE134033,94,-0.5982859943628807,5.3495129963766415e-5,4.271685753046678
extracellular matrix structural constituent,GO:0005201,GSE134033,70,-0.696908278581213,2.841570043432546e-4,3.5464416343222838
calcium ion binding,GO:0005509,GSE134033,381,-0.1476320064598018,2.8901939142945765e-4,3.5390730177684184
signaling receptor binding,GO:0005102,GSE134033,246,-0.13356010090784767,0.00106605393876852,2.972220820903351
carbohydrate binding,GO:0030246,GSE134033,111,-0.35041029702989307,0.00470818659813963,2.3271463332252753
signaling receptor activity,GO:0038023,GSE134033,103,-0.25037661512922676,0.01443772260516222,1.8405013066288332
transmembrane signaling receptor activity,GO:0004888,GSE134033,62,-0.32792263500431934,0.02909289957721537,1.5362129921379841
integrin binding,GO:0005178,GSE134033,106,-0.21267833935386157,0.04133051369836696,1.3837291968237917
calcium ion binding,GO:0005509,GSE39872,365,-1.7512128884229774,4.0873790630521584e-8,7.388555084001654
cadherin binding,GO:0045296,GSE39872,284,-1.7058851640868151,1.848949008644168e-7,6.733075065893194
glycosyltransferase activity,GO:0016757,GSE39872,169,-1.4416760223174063,1.454630225276876e-6,5.837247392610465
integrin binding,GO:0005178,GSE39872,95,-0.8046554269490003,1.454630225276876e-6,5.837247392610465
extracellular matrix structural constituent,GO:0005201,GSE39872,68,-0.3874652309709478,1.454630225276876e-6,5.837247392610465
carbohydrate binding,GO:0030246,GSE39872,85,-0.923564157510889,3.4834213587516627e-6,5.457993989592085
signaling receptor activity,GO:0038023,GSE39872,139,-1.448872093977493,1.2474845952324678e-5,4.903964808627892
growth factor binding,GO:0019838,GSE39872,35,0.2973963165150864,1.5041237409366928e-5,4.8227164338272255
protein disulfide isomerase activity,GO:0003756,GSE39872,14,1.028572056128369,8.672056695455173e-5,4.0618778915018545
transmembrane receptor protein tyrosine phosphatase activity,GO:0005001,GSE39872,11,1.4154552888004752,9.189299589275428e-5,4.036717589387008
zinc ion transmembrane transporter activity,GO:0005385,GSE39872,18,0.4127122567293036,7.299906553456865e-4,3.136682699273762
polypeptide N-acetylgalactosaminyltransferase activity,GO:0004653,GSE39872,12,1.1729078383857312,8.16589210943213e-4,3.0879963624227957
heparin binding,GO:0008201,GSE39872,81,-1.5585627721316615,0.0037808941351441,2.4224054826920556
transmembrane transporter activity,GO:0022857,GSE39872,116,-1.867997759526628,0.00900264103430761,2.0456300662974956
transmembrane signaling receptor activity,GO:0004888,GSE39872,88,-1.7216563878336253,0.01164727224668008,1.9337757730864076
serine-type endopeptidase inhibitor activity,GO:0004867,GSE39872,34,-1.112769651372053,0.01393440216479754,1.8559116593223381
mRNA binding,GO:0003729,GSE39872,220,-2.3155387090505606,0.01471215460280323,1.8323237199586997
ATP hydrolysis activity,GO:0016887,GSE39872,317,-2.3048338015904135,0.01622933120177988,1.7896993767456193
signaling receptor binding,GO:0005102,GSE39872,219,-2.096040872026702,0.02681448813273253,1.5716304889582873
transmembrane receptor protein tyrosine kinase activity,GO:0004714,GSE39872,34,-1.09790056230336,0.02681448813273253,1.5716304889582873
